Genotype,Exp,Loc,Yield,Pro,Oil,Mat
MX3582,23-C-101,Jerico,57.4,,,
MX3582,23-C-101,Ames02,67.87,,,
OX7938,23-C-101,Ames02,69.16,,,
OX7938,23-C-101,Ames01,82.06,36.7,19.95,2.5
OX7938,23-C-101,Jerico,70.18,,,
OX7938,23-C-101,Crawfordsville,86.47,35,20.45,2.1
OX7938,23-C-101,Sutherland,69.24,,,1.9
YX1094,23-C-101,Crawfordsville,88.96,34.85,20.65,2.1
YX1094,23-C-101,Ames01,79.84,36.15,20.15,2.5
YX1094,23-C-101,Ames02,66.96,,,
YX1094,23-C-101,Jerico,63.06,,,
YX1094,23-C-101,Sutherland,74.98,,,1.9
SD6551,23-C-101,Ames01,77.34,36.05,20.15,2.1
SD6551,23-C-101,Jerico,71.77,,,
SD6551,23-C-101,Sutherland,63.92,,,1.9
SD6551,23-C-101,Crawfordsville,85.31,34.9,20.35,2.1
SD6551,23-C-101,Ames02,68.09,,,
MY2923,23-C-101,Jerico,60.58,,,
MY2923,23-C-101,Crawfordsville,88.52,34.9,20.75,2.1
MY2923,23-C-101,Ames02,62.48,,,
MY2923,23-C-101,Ames01,79.48,36.5,19.85,2.5
MY2923,23-C-101,Sutherland,66.84,,,2.1
AR9212,23-C-101,Sutherland,58.96,,,1.9
AR9212,23-C-101,Ames02,70.63,,,
AR9212,23-C-101,Ames01,82.45,37.5,19.05,2.1
AR9212,23-C-101,Jerico,66.3,,,
AR9212,23-C-101,Crawfordsville,80.12,36.15,19.15,1.9
QN8428,23-C-101,Ames02,57.82,,,
QN8428,23-C-101,Ames01,80.75,37.25,19,2.5
QN8428,23-C-101,Crawfordsville,82.93,36.3,19.75,2.1
QN8428,23-C-101,Jerico,63.87,,,
QN8428,23-C-101,Sutherland,58.73,,,2.3
UA5973,23-C-101,Ames01,85.45,38.35,18.7,1.9
UA5973,23-C-101,Ames02,63.42,,,
UA5973,23-C-101,Jerico,60.39,,,
UA5973,23-C-101,Sutherland,51.11,,,1.9
UA5973,23-C-101,Crawfordsville,76.92,37.8,18.8,1.9
HZ6550,23-C-101,Jerico,62.99,,,
HZ6550,23-C-101,Ames01,92.86,38,18.65,1.9
HZ6550,23-C-101,Sutherland,61.64,,,2.1
HZ6550,23-C-101,Ames02,65.48,,,
HZ6550,23-C-101,Crawfordsville,81.62,35.6,19.5,1.9
ZC2544,23-C-101,Sutherland,72.69,,,2.1
ZC2544,23-C-101,Crawfordsville,73.57,34.25,20.55,2.1
ZC2544,23-C-101,Ames02,69.68,,,
ZC2544,23-C-101,Ames01,85.75,36.85,19.2,1.9
ZC2544,23-C-101,Jerico,65.75,,,
DH6933,23-C-101,Crawfordsville,85.21,34.25,21.4,2.3
DH6933,23-C-101,Ames01,83.63,35.35,20.65,1.9
DH6933,23-C-101,Ames02,69.91,,,
DH6933,23-C-101,Jerico,61.93,,,
DH6933,23-C-101,Sutherland,62.5,,,2.1
KL0426,23-C-101,Crawfordsville,87.23,34.85,19.65,2.1
KL0426,23-C-101,Sutherland,52.68,,,2.3
KL0426,23-C-101,Jerico,57.55,,,
KL0426,23-C-101,Ames01,85.6,36.15,19.3,2.5
KL0426,23-C-101,Ames02,67.34,,,
LV4523,23-C-101,Sutherland,75.71,,,2.1
LV4523,23-C-101,Ames01,79.2,36.25,19.7,2.3
LV4523,23-C-101,Jerico,65.81,,,
LV4523,23-C-101,Ames02,68.91,,,
LV4523,23-C-101,Crawfordsville,86.14,33.55,20.5,2.1
IN7483,23-C-101,Ames02,68.36,,,
IN7483,23-C-101,Sutherland,68.99,,,2.1
IN7483,23-C-101,Ames01,91.91,35.05,20.15,2.1
IN7483,23-C-101,Jerico,70.66,,,
IN7483,23-C-101,Crawfordsville,85.14,34.2,21,2.1
IA8023,23-C-101,Jerico,62.42,,,
IA8023,23-C-101,Crawfordsville,82.71,34.8,20.1,2.1
IA8023,23-C-101,Sutherland,66.89,,,1.9
IA8023,23-C-101,Ames01,90.14,35.3,19.75,2.5
IA8023,23-C-101,Ames02,67.26,,,
FE9101,23-C-101,Ames01,76.43,37.55,18.4,1.9
FE9101,23-C-101,Sutherland,59.09,,,2.1
FE9101,23-C-101,Crawfordsville,92.17,36.7,18.7,1.9
FE9101,23-C-101,Jerico,63.52,,,
FE9101,23-C-101,Ames02,63.98,,,
YY9655,23-C-101,Jerico,63.47,,,
YY9655,23-C-101,Crawfordsville,82.6,35.55,19.8,1.9
YY9655,23-C-101,Ames01,82.2,37.15,18.85,2.1
YY9655,23-C-101,Ames02,66.18,,,
YY9655,23-C-101,Sutherland,68.74,,,2.1
IT2971,23-C-101,Crawfordsville,80.81,36.15,19.45,1.9
IT2971,23-C-101,Ames01,81.73,37.4,18.75,2.1
IT2971,23-C-101,Sutherland,67.81,,,2.1
IT2971,23-C-101,Ames02,66.65,,,
IT2971,23-C-101,Jerico,62.96,,,
TA5991,23-C-101,Ames01,79.38,37,19.4,2.5
TA5991,23-C-101,Sutherland,57.84,,,2.1
TA5991,23-C-101,Jerico,62.18,,,
TA5991,23-C-101,Crawfordsville,77.3,35,20.5,1.9
TA5991,23-C-101,Ames02,65.56,,,
YH9906,23-C-101,Ames01,88.99,37.5,18.75,2.7
YH9906,23-C-101,Ames02,65.66,,,
YH9906,23-C-101,Jerico,61.61,,,
YH9906,23-C-101,Crawfordsville,74.93,36.1,19.6,2.3
YH9906,23-C-101,Sutherland,70.87,,,1.9
IV2698,23-C-101,Ames02,66.01,,,
IV2698,23-C-101,Sutherland,55.72,,,2.1
IV2698,23-C-101,Jerico,62.31,,,
IV2698,23-C-101,Crawfordsville,77.49,36.9,19.75,2.1
IV2698,23-C-101,Ames01,75.86,38.5,18.6,1.9
MV9661,23-C-101,Crawfordsville,71.53,35.2,20.35,1.9
MV9661,23-C-101,Jerico,67.13,,,
MV9661,23-C-101,Ames02,73.3,,,
MV9661,23-C-101,Sutherland,66.98,,,1.9
MV9661,23-C-101,Ames01,77.2,37,19.25,1.9
QE1903,23-C-101,Jerico,64.49,,,
QE1903,23-C-101,Ames01,82.68,35.2,20.1,2.3
QE1903,23-C-101,Crawfordsville,78.91,35,20.9,2.1
QE1903,23-C-101,Sutherland,66.31,,,2.1
QE1903,23-C-101,Ames02,65,,,
BT7378,23-C-101,Ames01,87.76,37.25,19.3,1.9
BT7378,23-C-101,Sutherland,61.58,,,1.9
BT7378,23-C-101,Crawfordsville,74.99,35.7,20.4,1.9
BT7378,23-C-101,Jerico,61.62,,,
BT7378,23-C-101,Ames02,62.26,,,
ET8781,23-C-101,Ames01,62.65,36.6,19.4,1.9
ET8781,23-C-101,Ames02,68.78,,,
ET8781,23-C-101,Crawfordsville,73.88,34.95,20.05,2.1
ET8781,23-C-101,Sutherland,56.63,,,2.1
ET8781,23-C-101,Jerico,62.19,,,
UD0036,23-C-101,Jerico,69.46,,,
UD0036,23-C-101,Sutherland,66.76,,,2.1
UD0036,23-C-101,Ames01,81.63,36.65,19.95,1.9
UD0036,23-C-101,Crawfordsville,82.49,34.5,20.85,2.1
UD0036,23-C-101,Ames02,69.6,,,
JZ4190,23-C-101,Jerico,70.56,,,
JZ4190,23-C-101,Ames02,61,,,
JZ4190,23-C-101,Ames01,90.06,36.35,19.35,2.1
JZ4190,23-C-101,Crawfordsville,85.9,,,2.1
JZ4190,23-C-101,Sutherland,63.62,,,2.1
YU2715,23-C-201E,Ames02,75.47,,,
YU2715,23-C-201E,Ames01,75.13,,,2.3
YU2715,23-C-201E,Sutherland,90.78,,,2.7
YU2715,23-C-201E,Lucas,68.85,31.7,21.25,
YU2715,23-C-201E,Jerico,67.82,,,
YU2715,23-C-201E,Crawfordsville,84.53,31.6,21.65,2.3
XQ3425,23-C-201E,Ames01,75.9,35.1,20.45,2.1
XQ3425,23-C-201E,Jerico,66.37,,,
XQ3425,23-C-201E,Sutherland,69.97,,,2.3
XQ3425,23-C-201E,Crawfordsville,81.87,33.7,20.8,2.1
XQ3425,23-C-201E,Ames02,58.93,,,
XQ3425,23-C-201E,Lucas,62.75,34,20.7,
TF1585,23-C-201E,Lucas,72.65,34.3,20.9,
TF1585,23-C-201E,Ames01,72.33,36,19.95,2.5
TF1585,23-C-201E,Crawfordsville,85.07,34.2,21.05,2.3
TF1585,23-C-201E,Jerico,58.38,,,
