Genotype,Exp,Loc,Yield,Pro,Oil,Mat
BB9185,23-C-202E,Ames01,84.08,35.45,20.2,2.5
BB9185,23-C-202E,Ames02,65.26,,,
BB9185,23-C-202E,Jerico,63.11,,,
AW0403,23-C-202E,Sutherland,63.95,,,2.1
AW0403,23-C-202E,Ames02,60.39,,,
AW0403,23-C-202E,Jerico,64.44,,,
AW0403,23-C-202E,Ames01,77.52,36.6,19.05,2.5
AW0403,23-C-202E,Crawfordsville,71.19,33.95,20.4,2.3
AW0403,23-C-202E,Lucas,61.3,33.65,20.85,
PW7807,23-C-202E,Jerico,58.24,,,
PW7807,23-C-202E,Sutherland,65.14,,,2.1
PW7807,23-C-202E,Ames02,61.12,,,
PW7807,23-C-202E,Lucas,67.45,33.05,21.2,
PW7807,23-C-202E,Crawfordsville,78.22,33.65,21.05,2.1
PW7807,23-C-202E,Ames01,84.98,35.55,20.15,2.1
SC4526,23-C-202E,Crawfordsville,82.01,32.6,21.65,2.5
SC4526,23-C-202E,Jerico,64.71,,,
SC4526,23-C-202E,Sutherland,81.41,,,2.3
SC4526,23-C-202E,Lucas,79.71,32.15,21.7,
SC4526,23-C-202E,Ames02,71.36,,,
SC4526,23-C-202E,Ames01,84.85,34.3,20.85,2.5
VK6355,23-C-202E,Ames01,88,34.85,20,2.7
VK6355,23-C-202E,Jerico,65.87,,,
VK6355,23-C-202E,Lucas,71.26,32.3,21.05,
VK6355,23-C-202E,Sutherland,82.08,,,2.9
VK6355,23-C-202E,Ames02,69.56,,,
VK6355,23-C-202E,Crawfordsville,84.56,32.8,20.7,2.7
YV5970,23-C-202E,Ames02,68.14,,,
YV5970,23-C-202E,Jerico,68.42,,,
YV5970,23-C-202E,Ames01,91.2,34.95,20.5,2.3
YV5970,23-C-202E,Crawfordsville,85.48,33.1,21.45,2.5
YV5970,23-C-202E,Lucas,66,32.1,21.9,
YV5970,23-C-202E,Sutherland,67.33,,,2.1
GE1600,23-C-202E,Ames02,69.74,,,
GE1600,23-C-202E,Ames01,86.25,35.2,20.45,2.7
GE1600,23-C-202E,Sutherland,78.98,,,2.7
GE1600,23-C-202E,Crawfordsville,72.99,34.25,20.8,2.7
GE1600,23-C-202E,Lucas,66.87,32.8,21.55,
GE1600,23-C-202E,Jerico,66.56,,,
HJ9257,23-C-202E,Ames01,63.15,34.95,20.7,2.3
HJ9257,23-C-202E,Crawfordsville,86.52,33.4,21.1,2.3
HJ9257,23-C-202E,Jerico,59.4,,,
HJ9257,23-C-202E,Sutherland,81.69,,,2.5
HJ9257,23-C-202E,Ames02,67.65,,,
HJ9257,23-C-202E,Lucas,68.3,33,21.35,
RL3964,23-C-202E,Jerico,69.7,,,
RL3964,23-C-202E,Sutherland,73.26,,,2.3
RL3964,23-C-202E,Ames01,69,35.2,20.5,2.3
RL3964,23-C-202E,Lucas,76.37,32.85,21.65,
RL3964,23-C-202E,Ames02,65.71,,,
RL3964,23-C-202E,Crawfordsville,85.72,33.2,21.05,2.5
FZ7673,23-C-202E,Ames01,80.81,35.55,20.05,1.9
FZ7673,23-C-202E,Lucas,80.57,33.9,20.4,
FZ7673,23-C-202E,Jerico,72.67,,,
FZ7673,23-C-202E,Ames02,67.56,,,
FZ7673,23-C-202E,Sutherland,82.4,,,2.1
FZ7673,23-C-202E,Crawfordsville,79.1,33.35,20.8,1.9
HR9463,23-C-202E,Sutherland,68.5,,,2.1
HR9463,23-C-202E,Ames02,71.64,,,
HR9463,23-C-202E,Ames01,84.61,35.7,19.95,2.3
HR9463,23-C-202E,Jerico,71.07,,,
HR9463,23-C-202E,Lucas,68.84,33.8,20.75,
HR9463,23-C-202E,Crawfordsville,79.6,33.4,20.65,2.3
OP5086,23-C-202E,Lucas,61.77,35.35,19.95,
OP5086,23-C-202E,Sutherland,74.73,,,2.1
OP5086,23-C-202E,Jerico,71.56,,,
OP5086,23-C-202E,Ames02,60.63,,,
OP5086,23-C-202E,Crawfordsville,77.65,35.15,20.15,2.3
OP5086,23-C-202E,Ames01,87.93,37.05,19.45,2.3
ZG3641,23-C-202E,Ames01,79.21,35.65,19.7,2.5
ZG3641,23-C-202E,Crawfordsville,90.33,34.6,20.45,2.3
ZG3641,23-C-202E,Lucas,77.34,33.65,20.55,
ZG3641,23-C-202E,Jerico,69.55,,,
ZG3641,23-C-202E,Ames02,66.75,,,
ZG3641,23-C-202E,Sutherland,65.21,,,2.1
GT6176,23-C-202E,Crawfordsville,69.48,33.75,21,2.1
GT6176,23-C-202E,Ames02,60.39,,,
GT6176,23-C-202E,Jerico,65.58,,,
GT6176,23-C-202E,Lucas,67.73,33.9,20.55,
GT6176,23-C-202E,Sutherland,63.64,,,2.1
GT6176,23-C-202E,Ames01,81.15,35.4,20.05,2.3
ZN2547,23-C-202E,Jerico,71.11,,,
ZN2547,23-C-202E,Ames01,70.24,34.6,20.95,1.9
ZN2547,23-C-202E,Lucas,77.56,33.45,21.35,
ZN2547,23-C-202E,Crawfordsville,70.29,33.2,21.55,2.1
ZN2547,23-C-202E,Sutherland,74.5,,,2.1
ZN2547,23-C-202E,Ames02,64.68,,,
OJ0842,23-C-202E,Ames01,81.8,35.4,20.85,2.5
OJ0842,23-C-202E,Ames02,76.15,,,
OJ0842,23-C-202E,Jerico,67.27,,,
OJ0842,23-C-202E,Crawfordsville,91.2,34.85,21.2,2.5
OJ0842,23-C-202E,Lucas,72.87,34.6,21.05,
OJ0842,23-C-202E,Sutherland,81.92,,,2.3
MA7947,23-C-202E,Lucas,74.65,34.3,20.5,
MA7947,23-C-202E,Crawfordsville,83.44,34.85,20.3,2.7
MA7947,23-C-202E,Ames02,65.97,,,
MA7947,23-C-202E,Jerico,63.21,,,
MA7947,23-C-202E,Sutherland,66.27,,,2.3
MA7947,23-C-202E,Ames01,81.85,35.9,20.1,2.7
MN3857,23-C-202E,Lucas,68.51,34.05,21.7,
MN3857,23-C-202E,Jerico,63.47,,,
MN3857,23-C-202E,Sutherland,79.05,,,2.5
MN3857,23-C-202E,Ames02,66.73,,,
MN3857,23-C-202E,Ames01,81.43,34.85,21.15,2.5
MN3857,23-C-202E,Crawfordsville,83.03,34.25,21.45,2.7
KX2844,23-C-202E,Crawfordsville,69.31,32.45,21.6,2.1
KX2844,23-C-202E,Ames02,57.07,,,
KX2844,23-C-202E,Ames01,78.82,34.65,20.8,2.3
KX2844,23-C-202E,Lucas,66.19,32.95,21.55,
KX2844,23-C-202E,Jerico,62.09,,,
KX2844,23-C-202E,Sutherland,62.55,,,2.3
TK8454,23-C-202E,Ames01,83.62,34.85,20.65,2.1
TK8454,23-C-202E,Ames02,56.87,,,
TK8454,23-C-202E,Crawfordsville,78.19,33.7,20.75,2.3
TK8454,23-C-202E,Lucas,71.69,34.05,20.9,
TK8454,23-C-202E,Sutherland,70.94,,,2.3
TK8454,23-C-202E,Jerico,60.27,,,
TG7557,23-C-202E,Lucas,71.54,33.6,20.95,
TG7557,23-C-202E,Jerico,63.33,,,
TG7557,23-C-202E,Ames01,88.9,34.6,20.8,2.5
TG7557,23-C-202E,Ames02,63.82,,,
TG7557,23-C-202E,Crawfordsville,76.04,33.35,21.05,2.5
TG7557,23-C-202E,Sutherland,73.11,,,2.3
EI2643,23-C-202E,Jerico,62.03,,,
EI2643,23-C-202E,Sutherland,76.56,,,2.1
EI2643,23-C-202E,Lucas,63.52,34.15,21.1,
EI2643,23-C-202E,Ames02,63.03,,,
EI2643,23-C-202E,Ames01,87.29,35.7,20.2,2.3
EI2643,23-C-202E,Crawfordsville,73.77,34.5,20.35,2.3
JD1100,23-C-202E,Lucas,62.94,34.95,20.9,
JD1100,23-C-202E,Ames01,69.06,36.9,19.8,1.9
JD1100,23-C-202E,Ames02,65.29,,,
JD1100,23-C-202E,Jerico,65.32,,,
JD1100,23-C-202E,Crawfordsville,77.02,34.7,20.8,2.1
JD1100,23-C-202E,Sutherland,56.65,,,2.1
NH0860,23-C-202E,Jerico,72.56,,,
NH0860,23-C-202E,Ames02,61.95,,,
NH0860,23-C-202E,Sutherland,70.24,,,2.1
NH0860,23-C-202E,Ames01,76.79,35.1,19.4,2.5
NH0860,23-C-202E,Crawfordsville,78.67,35,20.4,2.3
NH0860,23-C-202E,Lucas,75.39,35.2,20.25,
TL8478,23-C-202E,Ames02,68.17,,,
TL8478,23-C-202E,Crawfordsville,85.24,34.7,20.6,2.3
TL8478,23-C-202E,Jerico,65.25,,,
TL8478,23-C-202E,Lucas,77.27,34.95,20.45,
TL8478,23-C-202E,Ames01,79.74,36.05,20.45,2.1
TL8478,23-C-202E,Sutherland,59.63,,,2.1
FV6403,23-C-202E,Sutherland,65.97,,,2.1
FV6403,23-C-202E,Jerico,72.43,,,
FV6403,23-C-202E,Lucas,86.11,34.95,20.4,
FV6403,23-C-202E,Ames02,66.03,,,
FV6403,23-C-202E,Ames01,86.87,35.75,20.35,2.5
FV6403,23-C-202E,Crawfordsville,84.37,35.1,20.65,2.3
PV3442,23-C-202E,Crawfordsville,79.6,35.3,20.5,2.3
PV3442,23-C-202E,Ames02,66.78,,,
PV3442,23-C-202E,Ames01,78.79,35.8,20.5,2.3
PV3442,23-C-202E,Lucas,79.44,34.15,21.1,
PV3442,23-C-202E,Jerico,68.11,,,
PV3442,23-C-202E,Sutherland,74.93,,,1.9
JZ4190,23-C-202E,Ames01,85.45,36.75,19.35,2.1
JZ4190,23-C-202E,Crawfordsville,82.89,34.8,19.9,2.1
JZ4190,23-C-202E,Ames02,63.48,,,
JZ4190,23-C-202E,Lucas,78.19,35.4,19.9,
JZ4190,23-C-202E,Sutherland,66.09,,,2.1
JZ4190,23-C-202E,Jerico,70.32,,,
GO8660,23-C-203E,Lucas,74.35,33.85,20.6,
GO8660,23-C-203E,Sutherland,75.46,,,2.7
GO8660,23-C-203E,Ames01,68.87,35.4,19.8,2.5
GO8660,23-C-203E,Jerico,65.43,,,
GO8660,23-C-203E,Crawfordsville,90.33,35.25,19.25,2.9
GO8660,23-C-203E,Ames02,72.63,,,
VI4582,23-C-203E,Crawfordsville,74.55,34.4,20.2,2.1
VI4582,23-C-203E,Lucas,62.54,35.15,20.15,
VI4582,23-C-203E,Ames02,60.69,,,
VI4582,23-C-203E,Ames01,76.73,36,19.75,2.1
VI4582,23-C-203E,Jerico,63.67,,,
VI4582,23-C-203E,Sutherland,66.59,,,1.9
HT0628,23-C-203E,Sutherland,64.74,,,1.9
HT0628,23-C-203E,Jerico,62.42,,,
HT0628,23-C-203E,Ames02,65.02,,,
HT0628,23-C-203E,Lucas,62.64,35.05,20,
HT0628,23-C-203E,Crawfordsville,74.1,34,20.6,2.1
HT0628,23-C-203E,Ames01,80.11,35.8,19.65,1.9
KE6251,23-C-203E,Ames02,68.96,,,
KE6251,23-C-203E,Sutherland,70.06,,,1.9
KE6251,23-C-203E,Jerico,62.65,,,
KE6251,23-C-203E,Ames01,77.35,36.7,19.6,2.1
KE6251,23-C-203E,Crawfordsville,75.12,34.3,20.55,2.1
KE6251,23-C-203E,Lucas,66.29,34.7,20.2,
ZV3340,23-C-203E,Ames01,80.46,35.8,20,2.1
ZV3340,23-C-203E,Jerico,51.15,,,
ZV3340,23-C-203E,Sutherland,61.31,,,1.9
ZV3340,23-C-203E,Ames02,59.76,,,
ZV3340,23-C-203E,Lucas,61.72,34.7,20.3,
ZV3340,23-C-203E,Crawfordsville,75.28,33.8,20.8,2.1
VD6259,23-C-203E,Ames02,64.26,,,
VD6259,23-C-203E,Sutherland,69.02,,,2.1
VD6259,23-C-203E,Lucas,67.38,34.7,20.2,
VD6259,23-C-203E,Crawfordsville,78.57,33.5,20.25,1.9
VD6259,23-C-203E,Ames01,79.68,36.05,19.8,2.1
VD6259,23-C-203E,Jerico,67.87,,,
FB0606,23-C-203E,Crawfordsville,78.12,33.85,20.4,2.5
FB0606,23-C-203E,Sutherland,68.49,,,2.3
FB0606,23-C-203E,Lucas,70.91,34.9,20.25,
FB0606,23-C-203E,Ames02,61.33,,,
FB0606,23-C-203E,Ames01,84.28,36.4,19.55,2.1
FB0606,23-C-203E,Jerico,63.38,,,
OU9280,23-C-203E,Sutherland,67.41,,,1.9
OU9280,23-C-203E,Ames01,80.89,36.45,19.7,2.1
OU9280,23-C-203E,Ames02,67.47,,,
OU9280,23-C-203E,Lucas,62.97,35.45,20.05,
OU9280,23-C-203E,Crawfordsville,82.08,34.15,20.35,2.5
OU9280,23-C-203E,Jerico,65.51,,,
WF7583,23-C-203E,Ames01,82.97,35.75,19.8,2.9
WF7583,23-C-203E,Lucas,63.58,34.6,20.75,
WF7583,23-C-203E,Jerico,48.62,,,
WF7583,23-C-203E,Ames02,63.75,,,
WF7583,23-C-203E,Crawfordsville,72.6,34.05,20.55,2.7
WF7583,23-C-203E,Sutherland,70.04,,,2.7
BF3198,23-C-203E,Ames01,79.13,36.7,19.45,1.9
BF3198,23-C-203E,Sutherland,67.48,,,2.1
BF3198,23-C-203E,Ames02,63.96,,,
BF3198,23-C-203E,Lucas,53.98,34.65,20.45,
BF3198,23-C-203E,Crawfordsville,78.49,35.65,19.55,2.1
BF3198,23-C-203E,Jerico,70.03,,,
SR8586,23-C-203E,Ames01,83.67,36.8,19.25,2.5
SR8586,23-C-203E,Lucas,61.83,36,19.7,
SR8586,23-C-203E,Ames02,55.84,,,
SR8586,23-C-203E,Sutherland,63.19,,,2.3
SR8586,23-C-203E,Crawfordsville,81.06,36.35,19.05,2.7
SR8586,23-C-203E,Jerico,62.29,,,
CZ6700,23-C-203E,Ames02,62.76,,,
CZ6700,23-C-203E,Crawfordsville,80.96,35,20.1,2.1
CZ6700,23-C-203E,Lucas,64.89,35.05,20.1,
CZ6700,23-C-203E,Ames01,89.28,36.05,19.7,1.9
CZ6700,23-C-203E,Jerico,66.56,,,
CZ6700,23-C-203E,Sutherland,75.03,,,2.1
PT9124,23-C-203E,Ames01,74.45,37.1,18.8,2.7
PT9124,23-C-203E,Lucas,60.91,36.15,19.75,
PT9124,23-C-203E,Jerico,63.49,,,
PT9124,23-C-203E,Sutherland,72.97,,,2.7
PT9124,23-C-203E,Ames02,70.89,,,
PT9124,23-C-203E,Crawfordsville,75.68,36.2,19.15,2.7
ZL7498,23-C-203E,Ames02,63.99,,,
ZL7498,23-C-203E,Lucas,71.45,34.25,20.3,
ZL7498,23-C-203E,Crawfordsville,71.42,34.45,19.45,2.3
ZL7498,23-C-203E,Sutherland,65.15,,,2.1
ZL7498,23-C-203E,Jerico,61.27,,,
ZL7498,23-C-203E,Ames01,61.17,35.95,19.5,2.3
LK6972,23-C-203E,Sutherland,72.08,,,2.3
LK6972,23-C-203E,Ames01,53.6,36.25,19.5,2.3
LK6972,23-C-203E,Lucas,68.96,34,20.35,
LK6972,23-C-203E,Ames02,71.22,,,
LK6972,23-C-203E,Jerico,63.06,,,
LK6972,23-C-203E,Crawfordsville,75.24,34.1,20.05,2.5
GA8687,23-C-203E,Ames01,83.61,35.8,19.5,2.1
GA8687,23-C-203E,Sutherland,73.39,,,1.9
GA8687,23-C-203E,Lucas,65.56,34.45,20.2,
GA8687,23-C-203E,Crawfordsville,82.34,33.95,20.15,2.3
GA8687,23-C-203E,Jerico,60.3,,,
GA8687,23-C-203E,Ames02,63.99,,,
GW5173,23-C-203E,Ames02,67.09,,,
GW5173,23-C-203E,Ames01,73.17,35.3,19.8,2.3
GW5173,23-C-203E,Jerico,63.83,,,
GW5173,23-C-203E,Crawfordsville,76.41,33.8,20.05,2.3
GW5173,23-C-203E,Lucas,66.54,34.65,20.05,
GW5173,23-C-203E,Sutherland,73.28,,,1.9
JP4364,23-C-203E,Lucas,63.31,34.3,20.15,
JP4364,23-C-203E,Ames01,64.9,36.35,19.4,2.3
JP4364,23-C-203E,Ames02,69.41,,,
JP4364,23-C-203E,Sutherland,74.2,,,2.1
JP4364,23-C-203E,Crawfordsville,84,34.4,19.8,2.3
JP4364,23-C-203E,Jerico,56.56,,,
WW6891,23-C-203E,Jerico,65.16,,,
WW6891,23-C-203E,Ames02,73.15,,,
WW6891,23-C-203E,Crawfordsville,73.52,33.45,20.65,2.5
WW6891,23-C-203E,Sutherland,68.76,,,2.5
WW6891,23-C-203E,Ames01,83.99,34.5,20.6,2.5
WW6891,23-C-203E,Lucas,68.75,33,21.35,
IQ5066,23-C-203E,Sutherland,68.5,,,2.3
IQ5066,23-C-203E,Jerico,72.96,,,
IQ5066,23-C-203E,Crawfordsville,87.89,34.9,20.2,2.3
IQ5066,23-C-203E,Ames02,66.85,,,
IQ5066,23-C-203E,Ames01,89.78,36,19.85,2.1
IQ5066,23-C-203E,Lucas,67.35,34.55,20.5,
TN0437,23-C-203E,Lucas,68.69,34.55,20.3,
TN0437,23-C-203E,Jerico,72.32,,,
TN0437,23-C-203E,Sutherland,73.17,,,2.3
TN0437,23-C-203E,Ames01,87.62,35.4,19.9,2.1
TN0437,23-C-203E,Ames02,70.59,,,
TN0437,23-C-203E,Crawfordsville,86.1,34.3,19.95,3.1
OR2276,23-C-203E,Jerico,66.52,,,
OR2276,23-C-203E,Ames01,77.46,37.05,18.6,2.3
OR2276,23-C-203E,Crawfordsville,80.77,35.95,18.55,2.3
OR2276,23-C-203E,Lucas,70.39,36.3,18.9,
OR2276,23-C-203E,Ames02,67.93,,,
OR2276,23-C-203E,Sutherland,70.89,,,2.3
WD4762,23-C-203E,Crawfordsville,68.28,,,2.3
WD4762,23-C-203E,Ames01,74.45,35.35,20,2.5
WD4762,23-C-203E,Jerico,65.29,,,
WD4762,23-C-203E,Lucas,68.19,33.35,21.1,
WD4762,23-C-203E,Ames02,67.86,,,
WD4762,23-C-203E,Sutherland,74.59,,,2.5
LK1194,23-C-203E,Sutherland,79.79,,,2.5
LK1194,23-C-203E,Crawfordsville,71.25,34,20.5,2.1
LK1194,23-C-203E,Ames02,69.33,,,
LK1194,23-C-203E,Jerico,63.9,,,
LK1194,23-C-203E,Ames01,94.14,34.85,20.25,2.5
LK1194,23-C-203E,Lucas,64.66,33.5,20.75,
YB5850,23-C-203E,Ames01,73.18,35.4,19.75,2.1
YB5850,23-C-203E,Crawfordsville,79.67,34.55,19.75,2.9
YB5850,23-C-203E,Ames02,72.15,,,
YB5850,23-C-203E,Sutherland,68.5,,,2.1
YB5850,23-C-203E,Jerico,67.23,,,
YB5850,23-C-203E,Lucas,59.96,34.2,20.85,
JU5886,23-C-203E,Ames01,69.69,35.5,20.3,2.5
JU5886,23-C-203E,Crawfordsville,71.66,34,20.9,2.3
JU5886,23-C-203E,Lucas,64.2,33.9,21.15,
JU5886,23-C-203E,Jerico,67.69,,,
JU5886,23-C-203E,Sutherland,74.27,,,2.3
JU5886,23-C-203E,Ames02,68.12,,,
VM2633,23-C-203E,Crawfordsville,81.47,33.05,20.6,2.1
VM2633,23-C-203E,Ames01,83.45,34.3,20.4,2.1
VM2633,23-C-203E,Lucas,62.13,32.1,21.6,
VM2633,23-C-203E,Jerico,67.46,,,
VM2633,23-C-203E,Sutherland,74.05,,,2.3
VM2633,23-C-203E,Ames02,78.29,,,
AB8953,23-C-203E,Crawfordsville,81.1,33.45,20.6,2.3
AB8953,23-C-203E,Sutherland,73.89,,,2.5
AB8953,23-C-203E,Ames02,73.26,,,
AB8953,23-C-203E,Lucas,61.88,33,21.1,
AB8953,23-C-203E,Ames01,79.72,35.15,19.8,2.5
AB8953,23-C-203E,Jerico,60.25,,,
MC1851,23-C-203E,Crawfordsville,74.71,33.65,20.3,2.3
MC1851,23-C-203E,Ames01,81.59,34.6,20.4,2.3
MC1851,23-C-203E,Lucas,61.85,32.95,21.2,
MC1851,23-C-203E,Ames02,69.25,,,
MC1851,23-C-203E,Jerico,57.32,,,
MC1851,23-C-203E,Sutherland,70.75,,,2.3
BA0300,23-C-203E,Crawfordsville,75.17,34.6,20.2,2.3
BA0300,23-C-203E,Ames02,70.01,,,
BA0300,23-C-203E,Jerico,66.49,,,
BA0300,23-C-203E,Lucas,64.46,33.55,20.85,
BA0300,23-C-203E,Sutherland,81.62,,,2.3
BA0300,23-C-203E,Ames01,84.36,35.35,19.55,2.5
KY9153,23-C-203E,Crawfordsville,81.9,34.9,20.45,2.1
KY9153,23-C-203E,Jerico,71.15,,,
KY9153,23-C-203E,Ames01,81.94,36.55,19.75,1.9
KY9153,23-C-203E,Lucas,67.75,35.95,19.65,
KY9153,23-C-203E,Sutherland,71.61,,,2.1
KY9153,23-C-203E,Ames02,73.37,,,
QV3207,23-C-203E,Jerico,67.42,,,
QV3207,23-C-203E,Sutherland,61.19,,,2.1
QV3207,23-C-203E,Ames01,72.36,36.9,18.95,2.7
QV3207,23-C-203E,Ames02,66.96,,,
QV3207,23-C-203E,Crawfordsville,74.25,36.35,19.1,2.1
QV3207,23-C-203E,Lucas,67.37,36.25,19.55,
XM7861,23-C-203E,Jerico,68.68,,,
XM7861,23-C-203E,Sutherland,70.66,,,2.1
XM7861,23-C-203E,Lucas,63.13,34.9,20.4,
XM7861,23-C-203E,Ames01,82.02,36.1,19.75,2.1
XM7861,23-C-203E,Ames02,66.46,,,
XM7861,23-C-203E,Crawfordsville,81.84,34.2,20.25,2.5
BX3082,23-C-203E,Jerico,64.09,,,
BX3082,23-C-203E,Lucas,70.14,34.85,19.9,
BX3082,23-C-203E,Ames02,66.6,,,
BX3082,23-C-203E,Ames01,64.66,35.85,19.6,2.3
BX3082,23-C-203E,Crawfordsville,87.31,35,19.5,2.9
BX3082,23-C-203E,Sutherland,74.89,,,2.5
JZ4190,23-C-203E,Sutherland,70.41,,,2.1
JZ4190,23-C-203E,Ames01,93.24,36.3,19.55,2.1
JZ4190,23-C-203E,Lucas,68.88,35.3,20,
JZ4190,23-C-203E,Jerico,65.24,,,
JZ4190,23-C-203E,Ames02,65.46,,,
JZ4190,23-C-203E,Crawfordsville,87.56,34.6,19.5,2.1
GP1098,23-C-204E,Lucas,62.4,37,19.9,
GP1098,23-C-204E,Jerico,56.99,,,
GP1098,23-C-204E,Sutherland,63.29,,,2.3
GP1098,23-C-204E,Crawfordsville,84.4,36.7,20.05,2.9
GP1098,23-C-204E,Ames02,61.48,,,
GP1098,23-C-204E,Ames01,77.63,37.6,19.4,3.1
IG6967,23-C-204E,Ames01,77.33,36.25,19.95,2.1
IG6967,23-C-204E,Jerico,54.8,,,
IG6967,23-C-204E,Crawfordsville,83.2,35.95,19.5,2.3
IG6967,23-C-204E,Lucas,58.72,36.1,19.9,
IG6967,23-C-204E,Ames02,68.36,,,
UE0111,23-C-204E,Ames02,65.77,,,
UE0111,23-C-204E,Crawfordsville,71.97,36.5,19.6,2.3
UE0111,23-C-204E,Ames01,71.97,37.55,19.2,2.3
UE0111,23-C-204E,Lucas,63.09,36.85,19.6,
UE0111,23-C-204E,Jerico,65.25,,,
UE0111,23-C-204E,Sutherland,70.98,,,2.3
WG1422,23-C-204E,Ames02,69.19,,,
WG1422,23-C-204E,Lucas,54.54,36.9,19.65,
WG1422,23-C-204E,Crawfordsville,76.73,35.65,20.1,2.1
WG1422,23-C-204E,Ames01,72.63,37.2,19,2.1
WG1422,23-C-204E,Sutherland,65.64,,,
WG1422,23-C-204E,Jerico,67.12,,,
IM3733,23-C-204E,Sutherland,73.39,,,2.3
IM3733,23-C-204E,Ames01,74.02,37.2,19.5,2.5
IM3733,23-C-204E,Lucas,70.98,35.95,20.8,
IM3733,23-C-204E,Jerico,65.39,,,
IM3733,23-C-204E,Ames02,75.23,,,
IM3733,23-C-204E,Crawfordsville,87.07,35.85,20.4,2.5
XE8006,23-C-204E,Lucas,58,37.4,19.4,
XE8006,23-C-204E,Sutherland,68.89,,,2.1
XE8006,23-C-204E,Ames01,73.36,37.6,19.05,2.1
XE8006,23-C-204E,Crawfordsville,74.97,36.9,19.4,1.9
XE8006,23-C-204E,Jerico,70.27,,,
XE8006,23-C-204E,Ames02,72.6,,,
RV7070,23-C-204E,Ames02,75.38,,,
RV7070,23-C-204E,Ames01,76.2,36.8,19.4,2.1
RV7070,23-C-204E,Sutherland,68.84,,,1.9
RV7070,23-C-204E,Crawfordsville,80.71,36.2,19.65,2.1
RV7070,23-C-204E,Jerico,67.37,,,
RV7070,23-C-204E,Lucas,58.78,36.25,19.7,
DI4903,23-C-204E,Jerico,62.65,,,
DI4903,23-C-204E,Ames02,76,,,
DI4903,23-C-204E,Ames01,79.54,35.85,19.65,2.7
DI4903,23-C-204E,Sutherland,63.47,,,2.5
DI4903,23-C-204E,Crawfordsville,96.03,35.1,19.95,2.7
DI4903,23-C-204E,Lucas,77.62,35.15,20.15,
BA1943,23-C-204E,Jerico,60.58,,,
BA1943,23-C-204E,Ames02,72.43,,,
BA1943,23-C-204E,Ames01,87.33,36.65,18.85,2.7
BA1943,23-C-204E,Lucas,66.32,35.7,19.95,
BA1943,23-C-204E,Crawfordsville,84.95,35.9,19.7,2.5
BA1943,23-C-204E,Sutherland,67.36,,,2.3
JR9110,23-C-204E,Ames02,73.05,,,
JR9110,23-C-204E,Sutherland,73.88,,,2.3
JR9110,23-C-204E,Jerico,56.91,,,
JR9110,23-C-204E,Lucas,67.38,35.3,20.65,
JR9110,23-C-204E,Ames01,78.07,36.05,19.7,2.7
JR9110,23-C-204E,Crawfordsville,88.46,34.45,20.5,2.5
ZM1659,23-C-204E,Ames01,73.1,36,20.1,2.3
ZM1659,23-C-204E,Crawfordsville,76.79,35.05,20.45,2.1
ZM1659,23-C-204E,Ames02,70.97,,,
ZM1659,23-C-204E,Jerico,60.18,,,
ZM1659,23-C-204E,Sutherland,68.92,,,2.3
ZM1659,23-C-204E,Lucas,62.22,34.6,20.95,
CU9336,23-C-204E,Jerico,64.72,,,
CU9336,23-C-204E,Ames02,68.53,,,
CU9336,23-C-204E,Crawfordsville,81.1,36,19.8,2.1
CU9336,23-C-204E,Sutherland,64.52,,,2.1
CU9336,23-C-204E,Lucas,64.92,35.9,19.9,
CU9336,23-C-204E,Ames01,78.5,36.8,19.3,2.3
FK3713,23-C-204E,Ames01,78.62,37.5,18.8,2.5
FK3713,23-C-204E,Ames02,69.76,,,
FK3713,23-C-204E,Sutherland,72.74,,,2.3
FK3713,23-C-204E,Lucas,63.6,37.4,19.25,
FK3713,23-C-204E,Jerico,61.95,,,
FK3713,23-C-204E,Crawfordsville,85.66,37.4,18.85,2.5
NY4928,23-C-204E,Jerico,66.61,,,
NY4928,23-C-204E,Ames02,67.67,,,
NY4928,23-C-204E,Lucas,61.36,36.45,20.05,
NY4928,23-C-204E,Ames01,73.74,37,19.45,2.3
NY4928,23-C-204E,Sutherland,72.5,,,2.1
NY4928,23-C-204E,Crawfordsville,74.93,36.1,19.75,2.1
NM3951,23-C-204E,Jerico,61.12,,,
NM3951,23-C-204E,Lucas,57.42,37.5,19.2,
NM3951,23-C-204E,Crawfordsville,73.62,36.05,19.65,2.3
NM3951,23-C-204E,Sutherland,43.41,,,2.3
NM3951,23-C-204E,Ames02,66.7,,,
NM3951,23-C-204E,Ames01,75.28,37.95,18.95,2.1
KP4913,23-C-204E,Lucas,60.28,34.65,20.55,
KP4913,23-C-204E,Crawfordsville,81.9,34.55,20.65,2.3
KP4913,23-C-204E,Jerico,62.77,,,
KP4913,23-C-204E,Ames02,68.25,,,
KP4913,23-C-204E,Sutherland,76.36,,,2.1
KP4913,23-C-204E,Ames01,95.45,36.15,19.75,2.3
EZ2899,23-C-204E,Ames01,79.12,35.35,20.15,2.3
EZ2899,23-C-204E,Jerico,64.07,,,
EZ2899,23-C-204E,Lucas,55.52,34.35,20.85,
EZ2899,23-C-204E,Sutherland,71.14,,,2.1
EZ2899,23-C-204E,Crawfordsville,76.58,33.8,20.85,2.3
EZ2899,23-C-204E,Ames02,68.16,,,
HZ9373,23-C-204E,Sutherland,69,,,2.5
HZ9373,23-C-204E,Crawfordsville,87.31,35.95,19.9,2.5
